variable,etapa,n_validos,nulos,media,mediana,desv_std,minimo,maximo,skewness,curtosis
Screen Porch,antes,2930,0,16.002047781569967,0.0,56.08737022943253,0.0,576.0,3.957467321213884,17.8591503122167
Pool Area,antes,2930,0,2.243344709897611,0.0,35.597180615097685,0.0,800.0,16.939142497338803,299.7749439412884
Misc Val,antes,2930,0,50.63515358361775,0.0,566.3442882590892,0.0,17000.0,21.999787616218825,566.2032983132124
Mo Sold,antes,2930,0,6.216040955631399,6.0,2.714492425430169,1.0,12.0,0.19259606287389833,-0.45463182645530686
Yr Sold,antes,2930,0,2007.790443686007,2008.0,1.3166129226105308,2006.0,2010.0,0.1348624794237384,-1.1575764023989352
SalePrice,antes,2930,0,180796.0600682594,160000.0,79886.692356665,12789.0,755000.0,1.7435000757376466,5.118899951130896
Order,despues,2925,0,1464.79452991453,1463.0,846.4417062484405,1.0,2930.0,0.0020575854477382777,-1.2013615816644343
PID,despues,2925,0,714393108.5408547,535453210.0,188727443.9148744,526301100.0,1007100110.0,0.05666685937492614,-1.9950558150758035
MS SubClass,despues,2925,0,57.396581196581195,50.0,42.66875230573664,20.0,190.0,1.3565485845130194,1.380263335221306
Lot Frontage,despues,2925,0,69.29846153846154,70.0,21.131691204097283,21.0,313.0,1.0882085498786322,8.564770873792883
Lot Area,despues,2925,0,10103.58358974359,9428.0,7781.999124369447,1300.0,215245.0,13.200004089931012,278.6451160373057
Overall Qual,despues,2925,0,6.088205128205129,6.0,1.4029530947571283,1.0,10.0,0.17165678389619599,0.028977170707659372
Overall Cond,despues,2925,0,5.563760683760684,5.0,1.1122619993929712,1.0,9.0,0.5727687526221804,1.486031025519507
Year Built,despues,2925,0,1971.302905982906,1973.0,30.24247441917139,1872.0,2010.0,-0.6024750082353809,-0.50315540729102
Year Remod/Add,despues,2925,0,1984.234188034188,1993.0,20.86177377550601,1950.0,2010.0,-0.44956727453172707,-1.3438405293521378
Mas Vnr Area,despues,2925,0,99.91863247863247,0.0,175.5661553637544,0.0,1600.0,2.577734273213136,9.150945564241184
BsmtFin SF 1,despues,2925,0,437.9476923076923,369.0,438.03228592728135,0.0,2288.0,0.8223878950777888,0.08714392538768578
BsmtFin SF 2,despues,2925,0,49.79042735042735,0.0,169.2741429635622,0.0,1526.0,4.136715814794163,18.75025368212963
Bsmt Unf SF,despues,2925,0,558.7562393162393,464.0,439.66767281281005,0.0,2336.0,0.9250134572175291,0.41281333102220286
Total Bsmt SF,despues,2925,0,1046.4943589743589,989.0,421.4822150193375,0.0,3206.0,0.39519082995146126,1.2517042862974979
1st Flr SF,despues,2925,0,1155.4611965811966,1082.0,376.59203908308587,334.0,3820.0,0.9426150392827163,1.661895506066978
2nd Flr SF,despues,2925,0,333.8328205128205,0.0,425.8419829092496,0.0,1862.0,0.8475173865180319,-0.5095775087352958
Low Qual Fin SF,despues,2925,0,4.684786324786325,0.0,46.34968413287542,0.0,1064.0,12.10762871567005,175.30052351898118
Gr Liv Area,despues,2925,0,1493.9788034188034,1441.0,486.27364556809033,334.0,3820.0,0.8788794722662926,1.0723569718850747
Bsmt Full Bath,despues,2925,0,0.4300854700854701,0.0,0.5240301048908363,0.0,3.0,0.6166441722943095,-0.7548765413495042
Bsmt Half Bath,despues,2925,0,0.06051282051282051,0.0,0.2441443017388617,0.0,2.0,3.9675738032697696,15.158990238346403
Full Bath,despues,2925,0,1.5647863247863247,2.0,0.5513858275892446,0.0,4.0,0.16495399824653853,-0.554461597712328
Half Bath,despues,2925,0,0.37846153846153846,0.0,0.5024029389225226,0.0,2.0,0.702966281218381,-1.021471357761756
Bedroom AbvGr,despues,2925,0,2.8536752136752135,3.0,0.8277367225708111,0.0,8.0,0.3069118213548532,1.8976390919398396
Kitchen AbvGr,despues,2925,0,1.0444444444444445,1.0,0.21425133084986384,0.0,3.0,4.309573478219654,19.828012629614918
TotRms AbvGrd,despues,2925,0,6.434188034188034,6.0,1.5578868229560017,2.0,14.0,0.7049918945948451,0.9299561522730162
Fireplaces,despues,2925,0,0.5969230769230769,1.0,0.645348585984652,0.0,4.0,0.7323115260121089,0.07901227672518596
Garage Yr Blt,despues,2925,0,1976.1654700854701,1978.0,26.661824979629625,1872.0,2010.0,-0.6925480567518663,-0.26029140980207144
Garage Cars,despues,2925,0,1.7644444444444445,2.0,0.7604048489296513,0.0,5.0,-0.22106196524672514,0.24986683146898336
Garage Area,despues,2925,0,471.7223931623932,480.0,213.95746232628878,0.0,1488.0,0.21177684390797633,0.8747303871575913
Wood Deck SF,despues,2925,0,93.39213675213675,0.0,126.03414246983691,0.0,1424.0,1.8482861141364904,6.826955125696296
Open Porch SF,despues,2925,0,47.1668376068376,27.0,66.57181043822686,0.0,742.0,2.495162425871915,10.831127750367848
Enclosed Porch,despues,2925,0,23.05094017094017,0.0,64.18680897676091,0.0,1012.0,4.010586175890079,28.43752219876339
3Ssn Porch,despues,2925,0,2.596923076923077,0.0,25.16258875557616,0.0,508.0,11.393854403182493,149.72557986982505
Screen Porch,despues,2925,0,16.02940170940171,0.0,56.13139714426285,0.0,576.0,3.953495059729611,17.82167403785928
Pool Area,despues,2925,0,1.8933333333333333,0.0,32.96427158446537,0.0,800.0,18.743765749005746,368.0145068657122
Misc Val,despues,2925,0,44.90974358974359,0.0,472.2379904467368,0.0,15500.0,22.225015158091903,608.857569461707
Mo Sold,despues,2925,0,6.216752136752136,6.0,2.711541120479334,1.0,12.0,0.19577268874694412,-0.4513310474349268
Yr Sold,despues,2925,0,2007.791452991453,2008.0,1.3174076964146728,2006.0,2010.0,0.13284324452188037,-1.1594655238828533
SalePrice,despues,2925,0,180411.5747008547,160000.0,78554.85728585732,12789.0,625000.0,1.5910724110509824,3.8395280893588817
